agent_name,curriculum_name,evaluation,aar,ses,learning_stability,mean_reward,std_reward,total_reward,success_rate
q_learning,baseline,81,0.999998,0.8,0.7810249675906655,9.6,1.019803902718557,96.0,0.0
q_learning,baseline,332,0.9999990000000001,1.0,0.6403124237432849,9.4,0.66332495807108,94.0,0.0
q_learning,baseline,356,1.0,1.0,0.7483314773547883,9.1,0.9433981132056604,91.0,0.0
q_learning,baseline,659,1.0,0.0,0.6708203932499369,9.7,0.7810249675906655,97.0,0.0
q_learning,baseline,779,1.0,0.0,0.66332495807108,9.4,0.4898979485566356,94.0,0.0
q_learning,baseline,1456,0.9999990000000001,0.0,0.6708203932499369,9.3,1.0999999999999999,93.0,0.0
q_learning,baseline,1675,1.0,0.0,0.9165151389911681,9.3,0.6403124237432849,93.0,0.0
q_learning,baseline,1731,1.0,0.0,0.7000000000000001,9.4,0.66332495807108,94.0,0.0
q_learning,baseline,2081,1.0,0.0,0.7810249675906655,9.5,0.806225774829855,95.0,0.0
q_learning,baseline,2097,0.9999990000000001,0.0,0.7000000000000001,9.6,0.4898979485566356,96.0,0.0
q_learning,baseline,2225,0.9999990000000001,0.0,0.4472135954999579,9.1,0.7000000000000001,91.0,0.0
q_learning,baseline,2451,1.0,1.0,0.9165151389911681,9.2,0.7483314773547883,92.0,0.0
q_learning,baseline,2459,0.999998,1.0,0.9,9.2,0.8717797887081347,92.0,0.0
q_learning,baseline,2640,0.9999990000000001,0.0,0.6324555320336759,9.3,0.45825756949558394,93.0,0.0
q_learning,baseline,3269,0.9999990000000001,0.0,0.6708203932499369,9.3,0.45825756949558405,93.0,0.0
q_learning,baseline,3341,1.0,1.0,0.4898979485566356,9.7,0.7810249675906654,97.0,0.0
q_learning,baseline,3565,1.0,0.0,0.66332495807108,9.4,0.8,94.0,0.0
q_learning,baseline,3664,1.0,0.0,0.6403124237432849,9.4,0.66332495807108,94.0,0.0
q_learning,baseline,3768,0.9999990000000001,0.0,0.8944271909999159,9.6,0.4898979485566356,96.0,0.0
q_learning,baseline,3901,1.0,1.0,0.7745966692414834,9.1,0.7000000000000001,91.0,0.0
q_learning,baseline,4061,0.9999990000000001,1.0,0.9165151389911681,9.4,0.9165151389911679,94.0,0.0
q_learning,baseline,4245,1.0,0.0,0.6,9.2,0.7483314773547883,92.0,0.0
q_learning,baseline,4581,0.999998,0.0,0.6,9.8,0.4,98.0,0.0
q_learning,transfer-learning,82,1.9364583677885707,1.0,0.7000000000000001,9.4,0.4898979485566356,94.0,0.0
q_learning,transfer-learning,151,1.8860370910376645,1.0,0.7483314773547882,9.8,0.7483314773547883,98.0,0.0
q_learning,transfer-learning,416,1.714578781111245,0.0,0.5,9.5,0.806225774829855,95.0,0.0
q_learning,transfer-learning,446,1.697112724057408,0.0,0.45825756949558405,9.6,0.8,96.0,0.0
q_learning,transfer-learning,786,1.5214597310581515,0.0,0.6708203932499369,9.0,0.7745966692414834,90.0,0.0
q_learning,transfer-learning,1146,1.3711916912069637,1.0,0.4898979485566356,9.2,0.6,92.0,0.0
q_learning,transfer-learning,1864,1.1455420582168236,1.0,0.8306623862918076,9.3,0.6403124237432849,93.0,0.0
q_learning,transfer-learning,1948,1.1239017860449603,0.0,0.7483314773547883,9.0,0.6324555320336759,90.0,0.0
q_learning,transfer-learning,2191,1.0656696504165741,1.0,0.7745966692414834,9.1,0.7000000000000001,91.0,0.0
q_learning,transfer-learning,2251,1.0522105263157895,1.0,0.8306623862918076,9.5,0.5,95.0,0.0
q_learning,transfer-learning,2324,1.0362844702467344,0.0,0.7810249675906655,9.8,0.6,98.0,0.0
q_learning,transfer-learning,3143,0.999998,1.0,0.8944271909999159,9.3,0.6403124237432849,93.0,0.0
q_learning,transfer-learning,3642,0.9999990000000001,0.0,0.6324555320336759,9.2,0.7483314773547883,92.0,0.0
q_learning,transfer-learning,3882,0.9999990000000001,1.0,0.5,9.4,0.4898979485566356,94.0,0.0
q_learning,transfer-learning,3959,0.9999990000000001,0.0,0.8717797887081348,9.3,0.6403124237432849,93.0,0.0
q_learning,transfer-learning,4151,1.0,0.0,1.0198039027185568,9.6,0.4898979485566356,96.0,0.0
q_learning,transfer-learning,4167,1.0,0.0,0.4898979485566356,9.3,1.0999999999999999,93.0,0.0
q_learning,transfer-learning,4236,1.0,1.0,0.45825756949558394,9.2,0.7483314773547883,92.0,0.0
q_learning,teacher-learning,17,1.0173974972021547,0.8888888888888888,0.66332495807108,9.5,0.6708203932499369,95.0,0.0
q_learning,teacher-learning,417,1.7156469772722733,0.0,0.4898979485566356,9.1,0.7,91.0,0.0
q_learning,teacher-learning,775,1.9725032065357955,0.0,0.6,9.7,0.45825756949558394,97.0,0.0
q_learning,teacher-learning,986,1.972697764948339,0.0,0.5385164807134504,9.2,0.7483314773547883,92.0,0.0
q_learning,teacher-learning,1047,1.9720665696761384,0.0,0.7000000000000001,9.3,0.7810249675906654,93.0,0.0
q_learning,teacher-learning,1151,1.9726587997207923,0.5,0.6403124237432849,9.4,0.9165151389911681,94.0,0.0
q_learning,teacher-learning,1244,1.973091272969808,1.0,0.7000000000000001,9.2,0.7483314773547883,92.0,0.0
q_learning,teacher-learning,1283,1.9724754156096211,0.0,0.7000000000000001,9.0,0.6324555320336759,90.0,0.0
q_learning,teacher-learning,1315,1.9726587997207923,0.0,0.39999999999999997,9.0,0.6324555320336759,90.0,0.0
q_learning,teacher-learning,1553,1.9711639071339238,0.0,0.66332495807108,9.2,0.6,92.0,0.0
q_learning,teacher-learning,1702,1.9726587997207923,0.0,0.7483314773547882,8.9,0.7000000000000001,89.0,0.0
q_learning,teacher-learning,2016,1.972697764948339,0.0,0.6324555320336759,9.3,0.9,93.0,0.0
q_learning,teacher-learning,2205,1.9722654650309104,0.0,0.6,9.3,0.7810249675906655,93.0,0.0
q_learning,teacher-learning,2551,1.971595725099355,0.0,0.39999999999999997,9.3,0.6403124237432849,93.0,0.0
q_learning,teacher-learning,2840,1.972931188078339,0.0,0.5385164807134504,9.2,0.6,92.0,0.0
q_learning,teacher-learning,2890,1.9718333545416624,0.0,0.8306623862918076,9.3,0.6403124237432849,93.0,0.0
q_learning,teacher-learning,2922,1.9711163642959904,0.0,0.7483314773547882,9.5,0.6708203932499369,95.0,0.0
q_learning,teacher-learning,3301,1.9718333545416624,0.0,0.5385164807134504,9.0,0.8944271909999159,90.0,0.0
q_learning,teacher-learning,3408,1.9733637816494938,0.0,0.4472135954999579,8.8,0.7483314773547883,88.0,0.0
